Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.25, inplace=False)
    (1): Linear(in_features=200, out_features=1400, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.25, inplace=False)
    (4): Linear(in_features=1400, out_features=13, bias=True)
  )
)
Number of parameters = 299,613
Moving model to cuda
Epoch 0
Loss = 1.7234e-01, PNorm = 21.0432, GNorm = 0.1090, lr_0 = 9.4159e-04
Loss = 1.7589e-01, PNorm = 21.0815, GNorm = 0.0909, lr_0 = 9.4755e-04
Loss = 1.1556e-01, PNorm = 21.1399, GNorm = 0.0830, lr_0 = 9.5351e-04
Loss = 1.5634e-01, PNorm = 21.1352, GNorm = 0.0755, lr_0 = 9.5947e-04
Loss = 1.6008e-01, PNorm = 21.1361, GNorm = 0.0955, lr_0 = 9.6543e-04
Loss = 1.5217e-01, PNorm = 21.1758, GNorm = 0.0885, lr_0 = 9.7139e-04
Loss = 1.5303e-01, PNorm = 21.1957, GNorm = 0.1166, lr_0 = 9.7735e-04
Loss = 1.4285e-01, PNorm = 21.2303, GNorm = 0.2088, lr_0 = 9.8331e-04
Loss = 1.6998e-01, PNorm = 21.2434, GNorm = 0.1131, lr_0 = 9.8927e-04
Loss = 1.7441e-01, PNorm = 21.2845, GNorm = 0.1146, lr_0 = 9.9523e-04
Loss = 1.3862e-01, PNorm = 21.3428, GNorm = 0.1061, lr_0 = 9.9978e-04
Loss = 2.4164e-02, PNorm = 21.3529, GNorm = 0.0820, lr_0 = 9.9967e-04
Validation auc = 0.694981
Epoch 2
Loss = 1.8077e-01, PNorm = 21.3473, GNorm = 0.1231, lr_0 = 9.9859e-04
Loss = 1.8689e-01, PNorm = 21.3603, GNorm = 0.1237, lr_0 = 9.9750e-04
Loss = 1.3304e-01, PNorm = 21.4348, GNorm = 0.0681, lr_0 = 9.9641e-04
